,Weekend/Holiday,,,,,,,,,,,,,,,,,,,,,,,,Workday,,,,,,,,,,,,,,,,,,,,,,,
Month->,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,
Hour-Beginning,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component
0,$0.00078 ,$0.08815 ,$0.00072 ,$0.08011 ,$0.00053 ,$0.05588 ,$0.00065 ,$0.06710 ,$0.00065 ,$0.06877 ,$0.00068 ,$0.07223 ,$0.00068 ,$0.07126 ,$0.00081 ,$0.08269 ,$0.00075 ,$0.07920 ,$0.00075 ,$0.07753 ,$0.00074 ,$0.08139 ,$0.00074 ,$0.08086 ,$0.00082 ,$0.08908 ,$0.00076 ,$0.08477 ,$0.00066 ,$0.06850 ,$0.00072 ,$0.07424 ,$0.00070 ,$0.07412 ,$0.00075 ,$0.07852 ,$0.00071 ,$0.07473 ,$0.00082 ,$0.08564 ,$0.00086 ,$0.09107 ,$0.00084 ,$0.08791 ,$0.00079 ,$0.08608 ,$0.00080 ,$0.08772 
1,$0.00079 ,$0.08913 ,$0.00071 ,$0.07910 ,$0.00059 ,$0.05833 ,$0.00066 ,$0.06866 ,$0.00064 ,$0.06749 ,$0.00065 ,$0.06854 ,$0.00061 ,$0.06474 ,$0.00077 ,$0.07994 ,$0.00076 ,$0.08087 ,$0.00073 ,$0.07712 ,$0.00096 ,$0.07801 ,$0.00072 ,$0.07856 ,$0.00080 ,$0.08709 ,$0.00075 ,$0.08321 ,$0.00065 ,$0.06850 ,$0.00071 ,$0.07319 ,$0.00066 ,$0.07026 ,$0.00070 ,$0.07337 ,$0.00067 ,$0.07127 ,$0.00083 ,$0.08713 ,$0.00083 ,$0.08840 ,$0.00082 ,$0.08651 ,$0.00101 ,$0.08535 ,$0.00077 ,$0.08448 
2,$0.00076 ,$0.08544 ,$0.00071 ,$0.07874 ,$0.00059 ,$0.06159 ,$0.00071 ,$0.07326 ,$0.00068 ,$0.07169 ,$0.00064 ,$0.06839 ,$0.00060 ,$0.06399 ,$0.00073 ,$0.07676 ,$0.00075 ,$0.07984 ,$0.00071 ,$0.07500 ,$0.00071 ,$0.07767 ,$0.00070 ,$0.07695 ,$0.00076 ,$0.08505 ,$0.00075 ,$0.08348 ,$0.00064 ,$0.06737 ,$0.00072 ,$0.07431 ,$0.00067 ,$0.07072 ,$0.00069 ,$0.07268 ,$0.00063 ,$0.06752 ,$0.00080 ,$0.08418 ,$0.00080 ,$0.08509 ,$0.00079 ,$0.08370 ,$0.00077 ,$0.08297 ,$0.00074 ,$0.08152 
3,$0.00075 ,$0.08393 ,$0.00070 ,$0.07734 ,$0.00059 ,$0.06200 ,$0.00078 ,$0.08017 ,$0.00072 ,$0.07641 ,$0.00058 ,$0.06221 ,$0.00063 ,$0.06737 ,$0.00072 ,$0.07565 ,$0.00072 ,$0.07660 ,$0.00071 ,$0.07484 ,$0.00071 ,$0.07781 ,$0.00067 ,$0.07346 ,$0.00076 ,$0.08526 ,$0.00075 ,$0.08362 ,$0.00063 ,$0.06643 ,$0.00071 ,$0.07345 ,$0.00066 ,$0.06987 ,$0.00071 ,$0.07529 ,$0.00062 ,$0.06621 ,$0.00075 ,$0.07958 ,$0.00078 ,$0.08302 ,$0.00078 ,$0.08215 ,$0.00075 ,$0.08247 ,$0.00073 ,$0.08084 
4,$0.00076 ,$0.08506 ,$0.00069 ,$0.07695 ,$0.00066 ,$0.06437 ,$0.00081 ,$0.08355 ,$0.00070 ,$0.07396 ,$0.00065 ,$0.06862 ,$0.00059 ,$0.06312 ,$0.00071 ,$0.07487 ,$0.00074 ,$0.07832 ,$0.00070 ,$0.07403 ,$0.00072 ,$0.07863 ,$0.00067 ,$0.07304 ,$0.00077 ,$0.08623 ,$0.00076 ,$0.08419 ,$0.00064 ,$0.06733 ,$0.00068 ,$0.06996 ,$0.00067 ,$0.07127 ,$0.00070 ,$0.07383 ,$0.00061 ,$0.06540 ,$0.00075 ,$0.07898 ,$0.00077 ,$0.08220 ,$0.00076 ,$0.08042 ,$0.00078 ,$0.08525 ,$0.00076 ,$0.08383 
5,$0.00078 ,$0.08830 ,$0.00070 ,$0.07763 ,$0.00063 ,$0.06629 ,$0.00070 ,$0.07226 ,$0.00067 ,$0.07145 ,$0.00062 ,$0.06633 ,$0.00062 ,$0.06581 ,$0.00072 ,$0.07613 ,$0.00072 ,$0.07697 ,$0.00069 ,$0.07299 ,$0.00074 ,$0.08067 ,$0.00068 ,$0.07466 ,$0.00081 ,$0.09096 ,$0.00075 ,$0.08293 ,$0.00069 ,$0.07011 ,$0.00070 ,$0.07247 ,$0.00065 ,$0.06838 ,$0.00073 ,$0.07667 ,$0.00063 ,$0.06661 ,$0.00077 ,$0.08012 ,$0.00079 ,$0.08393 ,$0.00079 ,$0.08361 ,$0.00079 ,$0.08588 ,$0.00081 ,$0.08860 
6,$0.00081 ,$0.09162 ,$0.00067 ,$0.07460 ,$0.00065 ,$0.06264 ,$0.00069 ,$0.07573 ,$0.00060 ,$0.06395 ,$0.00066 ,$0.07045 ,$0.00057 ,$0.06068 ,$0.00079 ,$0.07250 ,$0.00072 ,$0.07691 ,$0.00068 ,$0.07146 ,$0.00074 ,$0.08089 ,$0.00072 ,$0.07825 ,$0.00081 ,$0.09084 ,$0.00072 ,$0.07931 ,$0.00070 ,$0.07118 ,$0.00067 ,$0.06938 ,$0.00061 ,$0.06464 ,$0.00071 ,$0.07504 ,$0.00067 ,$0.07040 ,$0.00074 ,$0.07759 ,$0.00078 ,$0.08320 ,$0.00078 ,$0.08271 ,$0.00076 ,$0.08241 ,$0.00082 ,$0.08966 
7,$0.00075 ,$0.08423 ,$0.00060 ,$0.06596 ,$0.00066 ,$0.06876 ,$0.00053 ,$0.05494 ,$0.00029 ,$0.03107 ,$0.00057 ,$0.06015 ,$0.00049 ,$0.05124 ,$0.00095 ,$0.06066 ,$0.00061 ,$0.06174 ,$0.00061 ,$0.06405 ,$0.00057 ,$0.06084 ,$0.00060 ,$0.06442 ,$0.00081 ,$0.08755 ,$0.00071 ,$0.07525 ,$0.00067 ,$0.06967 ,$0.00063 ,$0.06485 ,$0.00056 ,$0.05902 ,$0.00069 ,$0.07049 ,$0.00063 ,$0.06461 ,$0.00067 ,$0.06796 ,$0.00067 ,$0.07075 ,$0.00071 ,$0.07379 ,$0.00068 ,$0.07125 ,$0.00076 ,$0.08216 
8,$0.00060 ,$0.06586 ,$0.00037 ,$0.04008 ,$0.00015 ,$0.00994 ,$0.00005 ,$0.00468 ,$0.00006 ,$0.00597 ,$0.00023 ,$0.02141 ,$0.00036 ,$0.03392 ,$0.00075 ,$0.04838 ,$0.00038 ,$0.03532 ,$0.00048 ,$0.04676 ,$0.00044 ,$0.04596 ,$0.00038 ,$0.04094 ,$0.00067 ,$0.07243 ,$0.00053 ,$0.05492 ,$0.00048 ,$0.04803 ,$0.00018 ,$0.01752 ,$0.00029 ,$0.02855 ,$0.00058 ,$0.05487 ,$0.00063 ,$0.05969 ,$0.00068 ,$0.06344 ,$0.00066 ,$0.06237 ,$0.00065 ,$0.06372 ,$0.00061 ,$0.06369 ,$0.00069 ,$0.07360 
9,$0.00051 ,$0.05553 ,$0.00023 ,$0.02444 ,$0.00003 ,$0.00240 ,$0.00007 ,$0.00649 ,$0.00010 ,$0.01005 ,$0.00025 ,$0.02024 ,$0.00035 ,$0.02927 ,$0.00054 ,$0.04803 ,$0.00036 ,$0.03124 ,$0.00034 ,$0.02671 ,$0.00039 ,$0.04036 ,$0.00020 ,$0.02214 ,$0.00058 ,$0.06416 ,$0.00040 ,$0.04282 ,$0.00031 ,$0.02264 ,$0.00014 ,$0.01069 ,$0.00020 ,$0.01551 ,$0.00052 ,$0.04449 ,$0.00059 ,$0.05132 ,$0.00071 ,$0.06218 ,$0.00064 ,$0.06056 ,$0.00062 ,$0.05849 ,$0.00059 ,$0.06086 ,$0.00063 ,$0.06856 
10,$0.00051 ,$0.05530 ,$0.00021 ,$0.02374 ,$0.00013 ,$0.00891 ,$0.00014 ,$0.01431 ,$0.00010 ,$0.01009 ,$0.00026 ,$0.02207 ,$0.00036 ,$0.02980 ,$0.00065 ,$0.04571 ,$0.00040 ,$0.03122 ,$0.00039 ,$0.02568 ,$0.00029 ,$0.03027 ,$0.00019 ,$0.02063 ,$0.00056 ,$0.06144 ,$0.00035 ,$0.03812 ,$0.00017 ,$0.01627 ,$0.00012 ,$0.00939 ,$0.00016 ,$0.01232 ,$0.00052 ,$0.04135 ,$0.00063 ,$0.05400 ,$0.00072 ,$0.06226 ,$0.00066 ,$0.05959 ,$0.00064 ,$0.05804 ,$0.00059 ,$0.06035 ,$0.00063 ,$0.06798 
11,$0.00049 ,$0.05455 ,$0.00023 ,$0.02606 ,$0.00007 ,$0.00615 ,$0.00011 ,$0.01011 ,$0.00010 ,$0.00949 ,$0.00023 ,$0.01561 ,$0.00039 ,$0.03024 ,$0.00058 ,$0.04442 ,$0.00043 ,$0.03002 ,$0.00049 ,$0.02529 ,$0.00028 ,$0.02949 ,$0.00018 ,$0.01986 ,$0.00054 ,$0.06030 ,$0.00034 ,$0.03772 ,$0.00020 ,$0.01895 ,$0.00013 ,$0.01082 ,$0.00018 ,$0.01617 ,$0.00059 ,$0.04034 ,$0.00067 ,$0.05246 ,$0.00076 ,$0.06145 ,$0.00070 ,$0.05887 ,$0.00071 ,$0.05780 ,$0.00059 ,$0.05987 ,$0.00058 ,$0.06282 
12,$0.00050 ,$0.05432 ,$0.00021 ,$0.02330 ,$0.00013 ,$0.01040 ,$0.00005 ,$0.00324 ,$0.00008 ,$0.00744 ,$0.00029 ,$0.02050 ,$0.00041 ,$0.03102 ,$0.00057 ,$0.04047 ,$0.00047 ,$0.02913 ,$0.00060 ,$0.02002 ,$0.00025 ,$0.02607 ,$0.00017 ,$0.01876 ,$0.00054 ,$0.05906 ,$0.00030 ,$0.03376 ,$0.00016 ,$0.01485 ,$0.00015 ,$0.01190 ,$0.00015 ,$0.01262 ,$0.00065 ,$0.03882 ,$0.00069 ,$0.05193 ,$0.00080 ,$0.06059 ,$0.00077 ,$0.05840 ,$0.00078 ,$0.05706 ,$0.00060 ,$0.05943 ,$0.00058 ,$0.06244 
13,$0.00046 ,$0.05226 ,$0.00024 ,$0.02711 ,$0.00005 ,$0.00487 ,$0.00001 ,$0.00000 ,$0.00002 ,$0.00122 ,$0.00028 ,$0.01873 ,$0.00038 ,$0.02664 ,$0.00063 ,$0.04546 ,$0.00051 ,$0.02903 ,$0.00075 ,$0.01740 ,$0.00024 ,$0.02476 ,$0.00018 ,$0.02001 ,$0.00053 ,$0.05792 ,$0.00029 ,$0.03168 ,$0.00019 ,$0.01736 ,$0.00012 ,$0.00771 ,$0.00011 ,$0.00860 ,$0.00074 ,$0.04334 ,$0.00068 ,$0.04916 ,$0.00084 ,$0.06071 ,$0.00084 ,$0.05829 ,$0.00084 ,$0.05594 ,$0.00061 ,$0.05785 ,$0.00056 ,$0.06053 
14,$0.00046 ,$0.05104 ,$0.00020 ,$0.02214 ,$0.00004 ,$0.00000 ,$0.00002 ,$0.00000 ,$0.00001 ,$0.00000 ,$0.00032 ,$0.01622 ,$0.00047 ,$0.02768 ,$0.00072 ,$0.04563 ,$0.00063 ,$0.03040 ,$0.00114 ,$0.02101 ,$0.00022 ,$0.02309 ,$0.00017 ,$0.01913 ,$0.00052 ,$0.05663 ,$0.00031 ,$0.03039 ,$0.00023 ,$0.02073 ,$0.00007 ,$0.00200 ,$0.00012 ,$0.00846 ,$0.00088 ,$0.03992 ,$0.00082 ,$0.04522 ,$0.00106 ,$0.06154 ,$0.00101 ,$0.05782 ,$0.00100 ,$0.05605 ,$0.00063 ,$0.05690 ,$0.00057 ,$0.06117 
15,$0.00051 ,$0.05720 ,$0.00020 ,$0.02241 ,$0.00003 ,$0.00180 ,$0.00002 ,$0.00000 ,$0.00001 ,$0.00000 ,$0.00038 ,$0.01359 ,$0.00060 ,$0.02629 ,$0.00083 ,$0.04809 ,$0.00083 ,$0.03550 ,$0.00180 ,$0.02008 ,$0.00048 ,$0.04981 ,$0.00042 ,$0.04584 ,$0.00054 ,$0.06018 ,$0.00029 ,$0.03175 ,$0.00020 ,$0.01667 ,$0.00006 ,$0.00129 ,$0.00012 ,$0.00726 ,$0.00107 ,$0.03733 ,$0.00110 ,$0.04911 ,$0.00138 ,$0.06462 ,$0.00124 ,$0.06038 ,$0.00119 ,$0.05632 ,$0.00073 ,$0.06328 ,$0.00062 ,$0.06790 
16,$0.00075 ,$0.08225 ,$0.00049 ,$0.05419 ,$0.00019 ,$0.01788 ,$0.00002 ,$0.00000 ,$0.00002 ,$0.00161 ,$0.00054 ,$0.01442 ,$0.00091 ,$0.02469 ,$0.00109 ,$0.06034 ,$0.00124 ,$0.04746 ,$0.00286 ,$0.04509 ,$0.00075 ,$0.07729 ,$0.00080 ,$0.08749 ,$0.00073 ,$0.07996 ,$0.00056 ,$0.06185 ,$0.00031 ,$0.02811 ,$0.00007 ,$0.00176 ,$0.00018 ,$0.01401 ,$0.08798 ,$0.03618 ,$0.08579 ,$0.05079 ,$0.08096 ,$0.07626 ,$0.00152 ,$0.07144 ,$0.00144 ,$0.06048 ,$0.00102 ,$0.08930 ,$0.00084 ,$0.09024 
17,$0.00095 ,$0.09950 ,$0.00087 ,$0.09008 ,$0.00039 ,$0.03934 ,$0.00010 ,$0.00926 ,$0.00010 ,$0.01012 ,$0.00093 ,$0.02751 ,$0.00164 ,$0.04626 ,$0.00164 ,$0.68911 ,$0.00179 ,$0.11367 ,$0.00386 ,$0.07871 ,$0.00088 ,$0.08487 ,$0.00083 ,$0.08681 ,$0.00092 ,$0.09686 ,$0.00093 ,$0.09784 ,$0.00064 ,$0.06334 ,$0.00014 ,$0.01062 ,$0.00035 ,$0.03280 ,$0.17827 ,$0.05069 ,$0.25738 ,$0.06280 ,$0.16364 ,$0.66147 ,$0.00195 ,$0.12354 ,$0.00192 ,$0.08994 ,$0.00109 ,$0.09343 ,$0.00091 ,$0.09366 
18,$0.00097 ,$0.09494 ,$0.00096 ,$0.09176 ,$0.00084 ,$0.08289 ,$0.00078 ,$0.07970 ,$0.00063 ,$0.06598 ,$0.00179 ,$0.08411 ,$0.00261 ,$0.08931 ,$0.00245 ,$0.74673 ,$0.00231 ,$0.42004 ,$0.00424 ,$0.08713 ,$0.00092 ,$0.08238 ,$0.00087 ,$0.08402 ,$0.00095 ,$0.09429 ,$0.00091 ,$0.08804 ,$0.00080 ,$0.08072 ,$0.00081 ,$0.08050 ,$0.00078 ,$0.07875 ,$0.18219 ,$0.08480 ,$0.26637 ,$0.09141 ,$0.24457 ,$0.68795 ,$0.00203 ,$0.36563 ,$0.00193 ,$0.10134 ,$0.00104 ,$0.08721 ,$0.00094 ,$0.09011 
19,$0.00089 ,$0.08761 ,$0.00086 ,$0.08215 ,$0.00081 ,$0.07959 ,$0.00075 ,$0.07731 ,$0.00077 ,$0.08003 ,$0.00192 ,$0.08598 ,$0.00277 ,$0.10881 ,$0.22534 ,$0.75193 ,$0.00228 ,$0.56524 ,$0.00374 ,$0.08195 ,$0.00099 ,$0.08081 ,$0.00085 ,$0.08204 ,$0.00089 ,$0.08804 ,$0.00084 ,$0.08098 ,$0.00080 ,$0.08000 ,$0.00077 ,$0.07582 ,$0.00079 ,$0.08080 ,$0.17885 ,$0.08322 ,$0.34781 ,$0.09787 ,$0.23911 ,$0.79492 ,$0.00187 ,$0.49538 ,$0.00210 ,$0.09897 ,$0.00102 ,$0.08396 ,$0.00091 ,$0.08785 
20,$0.00085 ,$0.08715 ,$0.00078 ,$0.07791 ,$0.00080 ,$0.07684 ,$0.00068 ,$0.06887 ,$0.00069 ,$0.06969 ,$0.00145 ,$0.07709 ,$0.00209 ,$0.09525 ,$0.00181 ,$0.81094 ,$0.00196 ,$0.28444 ,$0.00303 ,$0.08195 ,$0.00095 ,$0.08033 ,$0.00080 ,$0.08080 ,$0.00084 ,$0.08700 ,$0.00082 ,$0.08216 ,$0.00079 ,$0.07665 ,$0.00073 ,$0.07072 ,$0.00072 ,$0.07255 ,$0.08946 ,$0.08626 ,$0.17201 ,$0.10352 ,$0.08156 ,$0.90727 ,$0.00171 ,$0.29056 ,$0.00164 ,$0.08975 ,$0.00096 ,$0.08444 ,$0.00087 ,$0.08750 
21,$0.00081 ,$0.08753 ,$0.00071 ,$0.07489 ,$0.00076 ,$0.07050 ,$0.00073 ,$0.06995 ,$0.00068 ,$0.06517 ,$0.00108 ,$0.07659 ,$0.00134 ,$0.08024 ,$0.00124 ,$0.74174 ,$0.00155 ,$0.14123 ,$0.00231 ,$0.07786 ,$0.00086 ,$0.08443 ,$0.00076 ,$0.08135 ,$0.00082 ,$0.08883 ,$0.00077 ,$0.08117 ,$0.00081 ,$0.07969 ,$0.00076 ,$0.07080 ,$0.00072 ,$0.06889 ,$0.00137 ,$0.08087 ,$0.00167 ,$0.08649 ,$0.00181 ,$0.71849 ,$0.00140 ,$0.14117 ,$0.00137 ,$0.08703 ,$0.00087 ,$0.08750 ,$0.00084 ,$0.08883 
22,$0.00081 ,$0.09034 ,$0.00070 ,$0.07762 ,$0.00072 ,$0.07081 ,$0.00072 ,$0.06957 ,$0.00068 ,$0.06561 ,$0.00087 ,$0.07579 ,$0.00092 ,$0.07368 ,$0.00098 ,$0.73617 ,$0.00108 ,$0.14252 ,$0.00152 ,$0.08861 ,$0.00081 ,$0.08744 ,$0.00075 ,$0.08178 ,$0.00080 ,$0.08964 ,$0.00078 ,$0.08564 ,$0.00071 ,$0.06851 ,$0.00076 ,$0.07233 ,$0.00070 ,$0.06848 ,$0.00097 ,$0.07461 ,$0.00114 ,$0.07906 ,$0.00123 ,$0.69841 ,$0.00098 ,$0.13544 ,$0.00106 ,$0.09019 ,$0.00081 ,$0.08758 ,$0.00082 ,$0.08924 
23,$0.00080 ,$0.09034 ,$0.00075 ,$0.08291 ,$0.00072 ,$0.07166 ,$0.00067 ,$0.06865 ,$0.00064 ,$0.06678 ,$0.00069 ,$0.07139 ,$0.00072 ,$0.07220 ,$0.00085 ,$0.08848 ,$0.00084 ,$0.08831 ,$0.00097 ,$0.08860 ,$0.00078 ,$0.08518 ,$0.00073 ,$0.07991 ,$0.00080 ,$0.09025 ,$0.00078 ,$0.08599 ,$0.00064 ,$0.06641 ,$0.00069 ,$0.07038 ,$0.00068 ,$0.07112 ,$0.00073 ,$0.07359 ,$0.00075 ,$0.07349 ,$0.00087 ,$0.08707 ,$0.00087 ,$0.09193 ,$0.00087 ,$0.08881 ,$0.00078 ,$0.08531 ,$0.00082 ,$0.08990 
