,,Janurary,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December ,
,,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered
12:00,AM,$0.08908 ,$0.00082 ,$0.08477 ,$0.00076 ,$0.06850 ,$0.00066 ,$0.07424 ,$0.00072 ,$0.07412 ,$0.00070 ,$0.07852 ,$0.00075 ,$0.07473 ,$0.00071 ,$0.08564 ,$0.00082 ,$0.09107 ,$0.00086 ,$0.08791 ,$0.00084 ,$0.08608 ,$0.00079 ,$0.08772 ,$0.00080 
1:00,AM,$0.08709 ,$0.00080 ,$0.08321 ,$0.00075 ,$0.06850 ,$0.00065 ,$0.07319 ,$0.00071 ,$0.07026 ,$0.00066 ,$0.07337 ,$0.00070 ,$0.07127 ,$0.00067 ,$0.08713 ,$0.00083 ,$0.08840 ,$0.00083 ,$0.08651 ,$0.00082 ,$0.08535 ,$0.00101 ,$0.08448 ,$0.00077 
2:00,AM,$0.08505 ,$0.00076 ,$0.08348 ,$0.00075 ,$0.06737 ,$0.00064 ,$0.07431 ,$0.00072 ,$0.07072 ,$0.00067 ,$0.07268 ,$0.00069 ,$0.06752 ,$0.00063 ,$0.08418 ,$0.00080 ,$0.08509 ,$0.00080 ,$0.08370 ,$0.00079 ,$0.08297 ,$0.00077 ,$0.08152 ,$0.00074 
3:00,AM,$0.08526 ,$0.00076 ,$0.08362 ,$0.00075 ,$0.06643 ,$0.00063 ,$0.07345 ,$0.00071 ,$0.06987 ,$0.00066 ,$0.07529 ,$0.00071 ,$0.06621 ,$0.00062 ,$0.07958 ,$0.00075 ,$0.08302 ,$0.00078 ,$0.08215 ,$0.00078 ,$0.08247 ,$0.00075 ,$0.08084 ,$0.00073 
4:00,AM,$0.08623 ,$0.00077 ,$0.08419 ,$0.00076 ,$0.06733 ,$0.00064 ,$0.06996 ,$0.00068 ,$0.07127 ,$0.00067 ,$0.07383 ,$0.00070 ,$0.06540 ,$0.00061 ,$0.07898 ,$0.00075 ,$0.08220 ,$0.00077 ,$0.08042 ,$0.00076 ,$0.08525 ,$0.00078 ,$0.08383 ,$0.00076 
5:00,AM,$0.09096 ,$0.00081 ,$0.08293 ,$0.00075 ,$0.07011 ,$0.00069 ,$0.07247 ,$0.00070 ,$0.06838 ,$0.00065 ,$0.07667 ,$0.00073 ,$0.06661 ,$0.00063 ,$0.08012 ,$0.00077 ,$0.08393 ,$0.00079 ,$0.08361 ,$0.00079 ,$0.08588 ,$0.00079 ,$0.08860 ,$0.00081 
6:00,AM,$0.09084 ,$0.00081 ,$0.07931 ,$0.00072 ,$0.07118 ,$0.00070 ,$0.06938 ,$0.00067 ,$0.06464 ,$0.00061 ,$0.07504 ,$0.00071 ,$0.07040 ,$0.00067 ,$0.07759 ,$0.00074 ,$0.08320 ,$0.00078 ,$0.08271 ,$0.00078 ,$0.08241 ,$0.00076 ,$0.08966 ,$0.00082 
7:00,AM,$0.08755 ,$0.00081 ,$0.07525 ,$0.00071 ,$0.06967 ,$0.00067 ,$0.06485 ,$0.00063 ,$0.05902 ,$0.00056 ,$0.07049 ,$0.00069 ,$0.06461 ,$0.00063 ,$0.06796 ,$0.00067 ,$0.07075 ,$0.00067 ,$0.07379 ,$0.00071 ,$0.07125 ,$0.00068 ,$0.08216 ,$0.00076 
8:00,AM,$0.07243 ,$0.00067 ,$0.05492 ,$0.00053 ,$0.04803 ,$0.00048 ,$0.01752 ,$0.00018 ,$0.02855 ,$0.00029 ,$0.05487 ,$0.00058 ,$0.05969 ,$0.00063 ,$0.06344 ,$0.00068 ,$0.06237 ,$0.00066 ,$0.06372 ,$0.00065 ,$0.06369 ,$0.00061 ,$0.07360 ,$0.00069 
9:00,AM,$0.06416 ,$0.00058 ,$0.04282 ,$0.00040 ,$0.02264 ,$0.00031 ,$0.01069 ,$0.00014 ,$0.01551 ,$0.00020 ,$0.04449 ,$0.00052 ,$0.05132 ,$0.00059 ,$0.06218 ,$0.00071 ,$0.06056 ,$0.00064 ,$0.05849 ,$0.00062 ,$0.06086 ,$0.00059 ,$0.06856 ,$0.00063 
10:00,AM,$0.06144 ,$0.00056 ,$0.03812 ,$0.00035 ,$0.01627 ,$0.00017 ,$0.00939 ,$0.00012 ,$0.01232 ,$0.00016 ,$0.04135 ,$0.00052 ,$0.05400 ,$0.00063 ,$0.06226 ,$0.00072 ,$0.05959 ,$0.00066 ,$0.05804 ,$0.00064 ,$0.06035 ,$0.00059 ,$0.06798 ,$0.00063 
11:00,AM,$0.06030 ,$0.00054 ,$0.03772 ,$0.00034 ,$0.01895 ,$0.00020 ,$0.01082 ,$0.00013 ,$0.01617 ,$0.00018 ,$0.04034 ,$0.00059 ,$0.05246 ,$0.00067 ,$0.06145 ,$0.00076 ,$0.05887 ,$0.00070 ,$0.05780 ,$0.00071 ,$0.05987 ,$0.00059 ,$0.06282 ,$0.00058 
12:00,PM,$0.05906 ,$0.00054 ,$0.03376 ,$0.00030 ,$0.01485 ,$0.00016 ,$0.01190 ,$0.00015 ,$0.01262 ,$0.00015 ,$0.03882 ,$0.00065 ,$0.05193 ,$0.00069 ,$0.06059 ,$0.00080 ,$0.05840 ,$0.00077 ,$0.05706 ,$0.00078 ,$0.05943 ,$0.00060 ,$0.06244 ,$0.00058 
1:00,PM,$0.05792 ,$0.00053 ,$0.03168 ,$0.00029 ,$0.01736 ,$0.00019 ,$0.00771 ,$0.00012 ,$0.00860 ,$0.00011 ,$0.04334 ,$0.00074 ,$0.04916 ,$0.00068 ,$0.06071 ,$0.00084 ,$0.05829 ,$0.00084 ,$0.05594 ,$0.00084 ,$0.05785 ,$0.00061 ,$0.06053 ,$0.00056 
2:00,PM,$0.05663 ,$0.00052 ,$0.03039 ,$0.00031 ,$0.02073 ,$0.00023 ,$0.00200 ,$0.00007 ,$0.00846 ,$0.00012 ,$0.03992 ,$0.00088 ,$0.04522 ,$0.00082 ,$0.06154 ,$0.00106 ,$0.05782 ,$0.00101 ,$0.05605 ,$0.00100 ,$0.05690 ,$0.00063 ,$0.06117 ,$0.00057 
3:00,PM,$0.06018 ,$0.00054 ,$0.03175 ,$0.00029 ,$0.01667 ,$0.00020 ,$0.00129 ,$0.00006 ,$0.00726 ,$0.00012 ,$0.03733 ,$0.00107 ,$0.04911 ,$0.00110 ,$0.06462 ,$0.00138 ,$0.06038 ,$0.00124 ,$0.05632 ,$0.00119 ,$0.06328 ,$0.00073 ,$0.06790 ,$0.00062 
4:00,PM,$0.07996 ,$0.00073 ,$0.06185 ,$0.00056 ,$0.02811 ,$0.00031 ,$0.00176 ,$0.00007 ,$0.01401 ,$0.00018 ,$0.03618 ,$0.08798 ,$0.05079 ,$0.08579 ,$0.07626 ,$0.08096 ,$0.07144 ,$0.00152 ,$0.06048 ,$0.00144 ,$0.08930 ,$0.00102 ,$0.09024 ,$0.00084 
5:00,PM,$0.09686 ,$0.00092 ,$0.09784 ,$0.00093 ,$0.06334 ,$0.00064 ,$0.01062 ,$0.00014 ,$0.03280 ,$0.00035 ,$0.05069 ,$0.17827 ,$0.06280 ,$0.25738 ,$0.66147 ,$0.16364 ,$0.12354 ,$0.00195 ,$0.08994 ,$0.00192 ,$0.09343 ,$0.00109 ,$0.09366 ,$0.00091 
6:00,PM,$0.09429 ,$0.00095 ,$0.08804 ,$0.00091 ,$0.08072 ,$0.00080 ,$0.08050 ,$0.00081 ,$0.07875 ,$0.00078 ,$0.08480 ,$0.18219 ,$0.09141 ,$0.26637 ,$0.68795 ,$0.24457 ,$0.36563 ,$0.00203 ,$0.10134 ,$0.00193 ,$0.08721 ,$0.00104 ,$0.09011 ,$0.00094 
7:00,PM,$0.08804 ,$0.00089 ,$0.08098 ,$0.00084 ,$0.08000 ,$0.00080 ,$0.07582 ,$0.00077 ,$0.08080 ,$0.00079 ,$0.08322 ,$0.17885 ,$0.09787 ,$0.34781 ,$0.79492 ,$0.23911 ,$0.49538 ,$0.00187 ,$0.09897 ,$0.00210 ,$0.08396 ,$0.00102 ,$0.08785 ,$0.00091 
8:00,PM,$0.08700 ,$0.00084 ,$0.08216 ,$0.00082 ,$0.07665 ,$0.00079 ,$0.07072 ,$0.00073 ,$0.07255 ,$0.00072 ,$0.08626 ,$0.08946 ,$0.10352 ,$0.17201 ,$0.90727 ,$0.08156 ,$0.29056 ,$0.00171 ,$0.08975 ,$0.00164 ,$0.08444 ,$0.00096 ,$0.08750 ,$0.00087 
9:00,PM,$0.08883 ,$0.00082 ,$0.08117 ,$0.00077 ,$0.07969 ,$0.00081 ,$0.07080 ,$0.00076 ,$0.06889 ,$0.00072 ,$0.08087 ,$0.00137 ,$0.08649 ,$0.00167 ,$0.71849 ,$0.00181 ,$0.14117 ,$0.00140 ,$0.08703 ,$0.00137 ,$0.08750 ,$0.00087 ,$0.08883 ,$0.00084 
10:00,PM,$0.08964 ,$0.00080 ,$0.08564 ,$0.00078 ,$0.06851 ,$0.00071 ,$0.07233 ,$0.00076 ,$0.06848 ,$0.00070 ,$0.07461 ,$0.00097 ,$0.07906 ,$0.00114 ,$0.69841 ,$0.00123 ,$0.13544 ,$0.00098 ,$0.09019 ,$0.00106 ,$0.08758 ,$0.00081 ,$0.08924 ,$0.00082 
11:00,PM,$0.09025 ,$0.00080 ,$0.08599 ,$0.00078 ,$0.06641 ,$0.00064 ,$0.07038 ,$0.00069 ,$0.07112 ,$0.00068 ,$0.07359 ,$0.00073 ,$0.07349 ,$0.00075 ,$0.08707 ,$0.00087 ,$0.09193 ,$0.00087 ,$0.08881 ,$0.00087 ,$0.08531 ,$0.00078 ,$0.08990 ,$0.00082 
